Initial Date,Date of Completion,Days Taken,Days Grouped,Request,Client Name,Attorney Name,Practice Group,Outstanding Items,Status
1/3/2026,1/31/2026,28,0-30 Days,821338,Client 148,Attorney 40,Employee Benefits,System Flag,Complete
11/7/2025,1/30/2026,84,61-90 Days,858670,Client 266,Attorney 7,Employee Benefits,Signed Letter Due to Conflict,Complete
12/28/2025,1/26/2026,29,0-30 Days,305835,Client 448,Attorney 38,IP - Disputes,N/A,Complete
12/8/2025,1/26/2026,49,31-60 Days,663949,Client 462,Attorney 27,IP - Trademark,N/A,Complete
1/23/2026,1/26/2026,3,0-30 Days,585920,Client 20,Attorney 61,IP - Trademark,N/A,Complete
11/13/2025,1/25/2026,73,61-90 Days,445954,Client 304,Attorney 28,IP - Disputes,Quality Control,Complete
11/4/2025,1/21/2026,78,61-90 Days,103003,Client 110,Attorney 4,IP - Life Sciences,N/A,Complete
1/9/2026,1/20/2026,11,0-30 Days,256695,Client 406,Attorney 66,Employee Benefits,Conflict Clearance,Complete
12/10/2025,1/18/2026,39,31-60 Days,930520,Client 148,Attorney 34,IP - Disputes,N/A,Complete
11/3/2025,1/17/2026,75,61-90 Days,956029,Client 495,Attorney 59,IP - Trademark,System Flag,Complete
1/5/2026,1/17/2026,12,0-30 Days,712628,Client 9,Attorney 16,IP - Life Sciences,System Flag,Complete
11/18/2025,1/14/2026,57,31-60 Days,503675,Client 82,Attorney 6,IP - Life Sciences,Quality Control,Complete
11/24/2025,1/10/2026,47,31-60 Days,750224,Client 92,Attorney 72,IP - Trademark,Conflict Clearance,Complete
1/6/2026,1/8/2026,2,0-30 Days,251223,Client 388,Attorney 18,IP - Life Sciences,Conflict Clearance,Complete
10/31/2025,1/7/2026,68,61-90 Days,294097,Client 437,Attorney 93,IP - Life Sciences,Signed Letter Due to Conflict,Complete
12/20/2025,1/7/2026,18,0-30 Days,825701,Client 37,Attorney 10,IP - Disputes,Conflict Clearance,Complete
11/23/2025,1/4/2026,42,31-60 Days,997627,Client 431,Attorney 65,IP - Disputes,Signed Letter Due to Conflict,Complete
1/2/2026,1/4/2026,2,0-30 Days,483841,Client 119,Attorney 98,IP - Life Sciences,Signed Letter Due to Conflict,Complete
12/17/2025,1/4/2026,18,0-30 Days,646987,Client 87,Attorney 13,IP - Trademark,Signed Letter Due to Conflict,Complete
11/15/2025,1/4/2026,50,31-60 Days,561608,Client 354,Attorney 4,IP - Disputes,Quality Control,Complete
11/28/2025,1/2/2026,35,31-60 Days,372080,Client 239,Attorney 7,IP - Trademark,Attorney Question,Complete
11/29/2025,1/2/2026,34,31-60 Days,908366,Client 149,Attorney 55,IP - Trademark,Provisional Client,Complete
12/23/2025,12/29/2025,6,0-30 Days,191167,Client 103,Attorney 3,IP - Life Sciences,Conflict Clearance,Complete
11/25/2025,12/26/2025,31,31-60 Days,721463,Client 170,Attorney 46,Employee Benefits,Quality Control,Complete
12/21/2025,12/26/2025,5,0-30 Days,881981,Client 148,Attorney 84,IP - Trademark,Provisional Client,Complete
11/13/2025,12/26/2025,43,31-60 Days,430309,Client 294,Attorney 37,IP - Trademark,Draft Letter,Complete
11/20/2025,12/25/2025,35,31-60 Days,712268,Client 420,Attorney 50,IP - Disputes,Attorney Question,Complete
10/2/2025,12/23/2025,82,61-90 Days,929684,Client 334,Attorney 88,IP - Life Sciences,Attorney Question,Complete
9/24/2025,12/22/2025,89,61-90 Days,387805,Client 333,Attorney 8,IP - Trademark,System Flag,Complete
10/2/2025,12/18/2025,77,61-90 Days,858360,Client 343,Attorney 54,Employee Benefits,Draft Letter,Complete
12/9/2025,12/17/2025,8,0-30 Days,642975,Client 245,Attorney 69,IP - Life Sciences,System Flag,Complete
9/20/2025,12/13/2025,84,61-90 Days,174751,Client 147,Attorney 52,IP - Disputes,N/A,Complete
10/16/2025,12/13/2025,58,31-60 Days,986342,Client 102,Attorney 29,IP - Disputes,Quality Control,Complete
9/12/2025,12/8/2025,87,61-90 Days,644379,Client 441,Attorney 50,IP - Life Sciences,Conflict Clearance,Complete
10/5/2025,12/8/2025,64,61-90 Days,829108,Client 385,Attorney 54,IP - Disputes,System Flag,Complete
9/16/2025,12/3/2025,78,61-90 Days,280347,Client 10,Attorney 93,IP - Life Sciences,Signed Letter Due to Conflict,Complete
9/11/2025,12/3/2025,83,61-90 Days,776683,Client 461,Attorney 22,Employee Benefits,System Flag,Complete
9/15/2025,12/1/2025,77,61-90 Days,823982,Client 178,Attorney 95,IP - Disputes,System Flag,Complete
8/28/2025,11/23/2025,87,61-90 Days,183463,Client 39,Attorney 6,IP - Trademark,Draft Letter,Complete
8/25/2025,11/22/2025,89,61-90 Days,727250,Client 360,Attorney 49,IP - Trademark,System Flag,Complete
10/3/2025,11/21/2025,49,31-60 Days,641616,Client 160,Attorney 95,IP - Life Sciences,Attorney Question,Complete
9/28/2025,11/18/2025,51,31-60 Days,169150,Client 460,Attorney 64,IP - Disputes,Provisional Client,Complete
9/27/2025,11/17/2025,51,31-60 Days,841526,Client 401,Attorney 13,IP - Disputes,Signed Letter Due to Conflict,Complete
8/29/2025,11/17/2025,80,61-90 Days,781232,Client 122,Attorney 80,IP - Life Sciences,Provisional Client,Complete
9/25/2025,11/15/2025,51,31-60 Days,319147,Client 261,Attorney 65,IP - Trademark,Quality Control,Complete
9/25/2025,11/13/2025,49,31-60 Days,986602,Client 339,Attorney 25,Employee Benefits,Attorney Question,Complete
9/30/2025,11/12/2025,43,31-60 Days,451316,Client 290,Attorney 18,IP - Life Sciences,Signed Letter Due to Conflict,Complete
10/10/2025,11/12/2025,33,31-60 Days,717474,Client 365,Attorney 97,IP - Disputes,Conflict Clearance,Complete
10/1/2025,11/11/2025,41,31-60 Days,901456,Client 304,Attorney 60,IP - Life Sciences,Signed Letter Due to Conflict,Complete
9/13/2025,11/7/2025,55,31-60 Days,457825,Client 101,Attorney 26,IP - Disputes,N/A,Complete
8/8/2025,11/4/2025,88,61-90 Days,691299,Client 495,Attorney 30,IP - Life Sciences,System Flag,Complete
10/11/2025,11/4/2025,24,0-30 Days,844954,Client 368,Attorney 16,Employee Benefits,Quality Control,Abandoned
9/5/2025,11/4/2025,60,31-60 Days,407896,Client 430,Attorney 49,IP - Life Sciences,Conflict Clearance,Complete
10/25/2025,11/2/2025,8,0-30 Days,210233,Client 319,Attorney 39,IP - Life Sciences,Attorney Question,Complete
10/10/2025,11/2/2025,23,0-30 Days,505970,Client 410,Attorney 94,IP - Trademark,Signed Letter Due to Conflict,Complete
9/6/2025,11/1/2025,56,31-60 Days,827085,Client 47,Attorney 52,Employee Benefits,Signed Letter Due to Conflict,Complete
9/27/2025,10/30/2025,33,31-60 Days,143936,Client 163,Attorney 22,IP - Trademark,Conflict Clearance,Complete
9/30/2025,10/29/2025,29,0-30 Days,383342,Client 467,Attorney 56,IP - Disputes,Conflict Clearance,Complete
8/1/2025,10/24/2025,84,61-90 Days,189236,Client 245,Attorney 24,Employee Benefits,Conflict Clearance,Complete
9/5/2025,10/21/2025,46,31-60 Days,127018,Client 484,Attorney 51,Employee Benefits,Draft Letter,Complete
10/1/2025,10/17/2025,16,0-30 Days,983075,Client 235,Attorney 44,IP - Disputes,Quality Control,Abandoned
8/26/2025,10/15/2025,50,31-60 Days,538776,Client 88,Attorney 70,Employee Benefits,Signed Letter Due to Conflict,Complete
9/17/2025,10/11/2025,24,0-30 Days,438161,Client 476,Attorney 13,IP - Trademark,Conflict Clearance,Complete
7/23/2025,10/11/2025,80,61-90 Days,600248,Client 53,Attorney 67,IP - Disputes,Quality Control,Complete
10/1/2025,10/7/2025,6,0-30 Days,139115,Client 421,Attorney 81,IP - Life Sciences,System Flag,Complete
9/22/2025,10/5/2025,13,0-30 Days,833939,Client 240,Attorney 34,Employee Benefits,Conflict Clearance,Complete
7/19/2025,10/1/2025,74,61-90 Days,665512,Client 159,Attorney 20,IP - Disputes,Attorney Question,Complete
7/17/2025,9/25/2025,70,61-90 Days,884124,Client 373,Attorney 90,IP - Trademark,Draft Letter,Complete
6/29/2025,9/24/2025,87,61-90 Days,154165,Client 175,Attorney 8,IP - Disputes,Provisional Client,Complete
9/8/2025,9/23/2025,15,0-30 Days,286460,Client 182,Attorney 32,Employee Benefits,Provisional Client,Complete
9/1/2025,9/22/2025,21,0-30 Days,331276,Client 467,Attorney 36,IP - Trademark,System Flag,Complete
7/10/2025,9/22/2025,74,61-90 Days,367690,Client 203,Attorney 36,Employee Benefits,Signed Letter Due to Conflict,Complete
9/4/2025,9/21/2025,17,0-30 Days,555510,Client 334,Attorney 44,IP - Life Sciences,System Flag,Complete
9/17/2025,9/19/2025,2,0-30 Days,459492,Client 484,Attorney 70,IP - Life Sciences,Conflict Clearance,Complete
8/30/2025,9/19/2025,20,0-30 Days,752110,Client 328,Attorney 29,IP - Disputes,Conflict Clearance,Complete
8/18/2025,9/18/2025,31,31-60 Days,765430,Client 101,Attorney 82,Employee Benefits,System Flag,Complete
8/28/2025,9/17/2025,20,0-30 Days,955496,Client 98,Attorney 11,Employee Benefits,N/A,Abandoned
7/31/2025,9/17/2025,48,31-60 Days,873166,Client 10,Attorney 5,IP - Disputes,Provisional Client,Complete
9/10/2025,9/16/2025,6,0-30 Days,777644,Client 80,Attorney 75,IP - Disputes,Conflict Clearance,Complete
7/9/2025,9/15/2025,68,61-90 Days,923694,Client 220,Attorney 33,Employee Benefits,Conflict Clearance,Complete
7/2/2025,9/12/2025,72,61-90 Days,643778,Client 114,Attorney 55,IP - Life Sciences,Quality Control,Complete
7/28/2025,9/12/2025,46,31-60 Days,793437,Client 280,Attorney 77,IP - Life Sciences,Quality Control,Complete
9/9/2025,9/11/2025,2,0-30 Days,149169,Client 253,Attorney 1,IP - Disputes,N/A,Complete
7/19/2025,9/7/2025,50,31-60 Days,535303,Client 482,Attorney 64,IP - Trademark,Quality Control,Complete
6/5/2025,8/31/2025,87,61-90 Days,817128,Client 309,Attorney 18,IP - Trademark,Draft Letter,Complete
6/12/2025,8/30/2025,79,61-90 Days,556775,Client 161,Attorney 58,IP - Trademark,Signed Letter Due to Conflict,Complete
7/11/2025,8/27/2025,47,31-60 Days,969334,Client 464,Attorney 62,IP - Life Sciences,System Flag,Complete
6/15/2025,8/26/2025,72,61-90 Days,119937,Client 201,Attorney 93,IP - Disputes,Attorney Question,Complete
8/4/2025,8/23/2025,19,0-30 Days,790829,Client 228,Attorney 86,IP - Trademark,System Flag,Complete
5/28/2025,8/21/2025,85,61-90 Days,307205,Client 375,Attorney 33,IP - Life Sciences,Draft Letter,Abandoned
7/31/2025,8/20/2025,20,0-30 Days,600590,Client 182,Attorney 4,IP - Disputes,Provisional Client,Complete
6/7/2025,8/16/2025,70,61-90 Days,886269,Client 54,Attorney 47,Employee Benefits,Attorney Question,Complete
8/13/2025,8/15/2025,2,0-30 Days,797810,Client 24,Attorney 19,IP - Disputes,Provisional Client,Abandoned
7/16/2025,8/15/2025,30,0-30 Days,879123,Client 85,Attorney 45,IP - Life Sciences,N/A,Complete
7/28/2025,8/14/2025,17,0-30 Days,425707,Client 66,Attorney 58,Employee Benefits,N/A,Complete
5/29/2025,8/14/2025,77,61-90 Days,843753,Client 211,Attorney 21,IP - Disputes,Quality Control,Complete
6/30/2025,8/12/2025,43,31-60 Days,639417,Client 436,Attorney 2,IP - Trademark,Signed Letter Due to Conflict,Complete
7/9/2025,8/10/2025,32,31-60 Days,883763,Client 465,Attorney 90,IP - Disputes,N/A,Abandoned
5/11/2025,8/9/2025,90,61-90 Days,735433,Client 140,Attorney 72,IP - Disputes,Conflict Clearance,Complete
7/30/2025,8/8/2025,9,0-30 Days,867427,Client 453,Attorney 35,Employee Benefits,System Flag,Complete
7/6/2025,8/7/2025,32,31-60 Days,737876,Client 137,Attorney 21,IP - Life Sciences,System Flag,Complete
6/11/2025,8/2/2025,52,31-60 Days,638626,Client 407,Attorney 19,IP - Life Sciences,Signed Letter Due to Conflict,Complete
6/15/2025,8/2/2025,48,31-60 Days,485961,Client 224,Attorney 75,IP - Trademark,N/A,Complete
5/30/2025,7/30/2025,61,61-90 Days,898577,Client 497,Attorney 49,IP - Disputes,System Flag,Complete
5/24/2025,7/27/2025,64,61-90 Days,291147,Client 15,Attorney 42,IP - Life Sciences,Signed Letter Due to Conflict,Complete
5/21/2025,7/26/2025,66,61-90 Days,987808,Client 164,Attorney 98,IP - Trademark,Conflict Clearance,Complete
5/10/2025,7/24/2025,75,61-90 Days,587486,Client 322,Attorney 10,IP - Disputes,Quality Control,Complete
5/24/2025,7/23/2025,60,31-60 Days,278603,Client 424,Attorney 93,Employee Benefits,Provisional Client,Complete
4/26/2025,7/21/2025,86,61-90 Days,839350,Client 179,Attorney 35,Employee Benefits,N/A,Complete
6/13/2025,7/21/2025,38,31-60 Days,950903,Client 265,Attorney 53,IP - Disputes,Conflict Clearance,Complete
6/2/2025,7/18/2025,46,31-60 Days,974286,Client 33,Attorney 99,Employee Benefits,Draft Letter,Complete
5/12/2025,7/16/2025,65,61-90 Days,200078,Client 49,Attorney 56,Employee Benefits,Draft Letter,Complete
4/18/2025,7/15/2025,88,61-90 Days,637039,Client 90,Attorney 33,IP - Trademark,Attorney Question,Complete
5/30/2025,7/15/2025,46,31-60 Days,680589,Client 2,Attorney 18,IP - Trademark,N/A,Complete
5/28/2025,7/11/2025,44,31-60 Days,575728,Client 356,Attorney 55,IP - Life Sciences,System Flag,Complete
6/27/2025,7/9/2025,12,0-30 Days,206929,Client 433,Attorney 23,IP - Trademark,Quality Control,Complete
6/24/2025,7/8/2025,14,0-30 Days,669000,Client 341,Attorney 28,IP - Disputes,N/A,Complete
5/15/2025,7/6/2025,52,31-60 Days,642156,Client 214,Attorney 64,IP - Trademark,System Flag,Complete
4/17/2025,7/5/2025,79,61-90 Days,112050,Client 370,Attorney 51,IP - Trademark,System Flag,Complete
5/8/2025,7/4/2025,57,31-60 Days,183618,Client 245,Attorney 36,IP - Disputes,Conflict Clearance,Complete
4/13/2025,7/2/2025,80,61-90 Days,754398,Client 172,Attorney 43,IP - Trademark,Quality Control,Complete
4/17/2025,7/2/2025,76,61-90 Days,676350,Client 34,Attorney 59,IP - Life Sciences,Attorney Question,Complete
6/26/2025,7/1/2025,5,0-30 Days,438785,Client 167,Attorney 48,IP - Life Sciences,System Flag,Complete
4/12/2025,6/27/2025,76,61-90 Days,649282,Client 461,Attorney 8,Employee Benefits,Provisional Client,Complete
5/23/2025,6/25/2025,33,31-60 Days,443240,Client 45,Attorney 23,IP - Disputes,Conflict Clearance,Complete
5/14/2025,6/24/2025,41,31-60 Days,633970,Client 422,Attorney 67,IP - Trademark,Draft Letter,Complete
4/29/2025,6/8/2025,40,31-60 Days,463360,Client 336,Attorney 89,IP - Disputes,System Flag,Complete
4/13/2025,6/6/2025,54,31-60 Days,949330,Client 140,Attorney 78,IP - Life Sciences,Signed Letter Due to Conflict,Complete
5/27/2025,5/31/2025,4,0-30 Days,984843,Client 164,Attorney 60,IP - Disputes,Draft Letter,Complete
5/23/2025,5/26/2025,3,0-30 Days,492773,Client 200,Attorney 75,IP - Disputes,Provisional Client,Complete
5/23/2025,5/26/2025,3,0-30 Days,512366,Client 430,Attorney 24,IP - Life Sciences,Conflict Clearance,Complete
4/25/2025,5/22/2025,27,0-30 Days,674560,Client 464,Attorney 32,IP - Trademark,Quality Control,Complete
5/14/2025,5/20/2025,6,0-30 Days,259480,Client 470,Attorney 57,Employee Benefits,N/A,Complete
5/2/2025,5/17/2025,15,0-30 Days,551505,Client 166,Attorney 24,IP - Trademark,Draft Letter,Complete
4/19/2025,5/9/2025,20,0-30 Days,775681,Client 362,Attorney 85,IP - Disputes,Quality Control,Complete
4/25/2025,5/7/2025,12,0-30 Days,690932,Client 78,Attorney 76,IP - Disputes,Quality Control,Complete
4/22/2025,4/29/2025,7,0-30 Days,971877,Client 111,Attorney 18,IP - Disputes,Conflict Clearance,Complete
4/22/2025,4/23/2025,1,0-30 Days,749037,Client 214,Attorney 72,IP - Life Sciences,Provisional Client,Complete
4/11/2025,4/22/2025,11,0-30 Days,163506,Client 336,Attorney 75,IP - Disputes,N/A,Complete
4/9/2025,4/14/2025,5,0-30 Days,619557,Client 240,Attorney 92,IP - Life Sciences,Quality Control,Complete
